,Artist ID,Artist name,Album ID,Album name,Album release date,Track ID,Track name,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
37,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,7kSY0fqrPep5vcwOb1juye,Groove With Arijit Singh,2019-05-22,6p9UQtrYyk0s47GrEtaf0a,"Ishq Mubarak (From ""Tum Bin 2"")",0.479,0.733,-6.485,0,0.0363,0.417,3.84e-06,0.128,0.607,93.949,296600,4
38,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,7kSY0fqrPep5vcwOb1juye,Groove With Arijit Singh,2019-05-22,7b841Ma1wcWDVUSBIRuwmR,"Ullu Ka Pattha (From ""Jagga Jasoos"")",0.745,0.891,-5.572,0,0.0421,0.359,0.0552,0.104,0.904,122.025,211177,4
39,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,7kSY0fqrPep5vcwOb1juye,Groove With Arijit Singh,2019-05-22,59hSaWp9MXxrpYTUHNEKNj,"Kashmir Main Tu Kanyakumari (From ""Chennai Express"")",0.84,0.743,-7.66,1,0.0599,0.0307,0.000161,0.421,0.826,106.996,307627,4
40,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,7kSY0fqrPep5vcwOb1juye,Groove With Arijit Singh,2019-05-22,0VxgNsSywsjapKGXvzj8RH,"Ilahi (From ""Yeh Jawaani Hai Deewani"")",0.594,0.967,-5.767,1,0.0857,0.166,2.54e-05,0.105,0.452,132.009,228982,4
41,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,7kSY0fqrPep5vcwOb1juye,Groove With Arijit Singh,2019-05-22,0kVt8GpMh5rzDHTfu479x8,"Subah Subah (From ""Sonu Ke Titu Ki Sweety"")",0.538,0.646,-7.187,1,0.05,0.308,0,0.196,0.288,128.045,277292,4
42,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,7kSY0fqrPep5vcwOb1juye,Groove With Arijit Singh,2019-05-22,4r5KcqClOrWJupeOZYEbGx,"Dil Cheez Tujhe Dedi (From ""Airlift"")",0.699,0.665,-6.921,0,0.0483,0.0207,0,0.376,0.558,105.053,271330,4
43,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,7kSY0fqrPep5vcwOb1juye,Groove With Arijit Singh,2019-05-22,6s36KDFgCWW4lqDJ0njm7p,"Raat Bhar (From ""Heropanti"")",0.619,0.88,-4.549,0,0.0535,0.0173,0.00104,0.166,0.392,129.969,325582,4
44,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,7kSY0fqrPep5vcwOb1juye,Groove With Arijit Singh,2019-05-22,4wIWWEhbdgKAxhR68eE0Ye,"Mast Magan (From ""2 States"")",0.659,0.774,-7.014,1,0.0372,0.606,0.000333,0.185,0.883,82.995,280161,4
45,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,6jk3ucx33D7CLURgcfVFOT,Arijit Singh Broken Strings,2019-04-24,5Jgv5IaPCgj1rldWSlw6m3,"Lambiyaan Si Judaiyaan (From ""Raabta"")",0.436,0.721,-5.956,0,0.0852,0.273,0,0.132,0.73,171.851,238243,4
46,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,6jk3ucx33D7CLURgcfVFOT,Arijit Singh Broken Strings,2019-04-24,1aIhAX6324JZmhNnGltwkK,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",0.559,0.541,-5.525,1,0.0313,0.34,4.66e-06,0.102,0.309,83.978,264806,4
47,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,6jk3ucx33D7CLURgcfVFOT,Arijit Singh Broken Strings,2019-04-24,5jQm7HoRNb2wGI0Hldd4PK,"Humdard (From ""Ek Villain"")",0.572,0.541,-6.45,1,0.0245,0.759,0,0.111,0.266,87.01,260590,4
48,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,6jk3ucx33D7CLURgcfVFOT,Arijit Singh Broken Strings,2019-04-24,5vFQbbtozp7Krbvbjc9hKb,"Lo Maan Liya (From ""Raaz Reboot"")",0.568,0.55,-6.172,0,0.0262,0.728,3.62e-05,0.251,0.436,110.079,300274,4
49,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,6jk3ucx33D7CLURgcfVFOT,Arijit Singh Broken Strings,2019-04-24,5X5mUYJ9TUwosuEAZFzKEX,"Baaton Ko Teri (From ""All Is Well"")",0.524,0.575,-6.571,0,0.0294,0.397,1.8e-06,0.269,0.206,89.915,280250,4
50,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,6jk3ucx33D7CLURgcfVFOT,Arijit Singh Broken Strings,2019-04-24,3bQjDr2hk7OPXCNaQDKda2,"Chahun Main Ya Naa (From ""Aashiqui 2"")",0.645,0.517,-6.708,0,0.0273,0.522,3.27e-06,0.0905,0.259,106.906,304900,4
